venue_name,street,city,region,postal_code,website,instagram,facebook,google_maps,search_query,robots_url,scrape_allowed,notes
Arby's,8136 South Tryon Street,Charlotte,NC,28273,https://www.arbys.com/locations/us/nc/charlotte/8136-s-tryon-st/store-7313/,,,https://www.google.com/maps/search/?api=1&query=Arby's%208136%20South%20Tryon%20Street%20Charlotte%20NC,"Arby's 8136 South Tryon Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://www.arbys.com/robots.txt,false,
Arby's,9518 University City Boulevard,Charlotte,NC,28213,https://www.arbys.com/locations/us/nc/charlotte/9518-university-city-blvd/store-6999/,,,https://www.google.com/maps/search/?api=1&query=Arby's%209518%20University%20City%20Boulevard%20Charlotte%20NC,"Arby's 9518 University City Boulevard Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://www.arbys.com/robots.txt,false,
Arby's,2501 Little Rock Road,Charlotte,NC,28214,https://www.arbys.com/locations/us/nc/charlotte/2501-little-rock-rd/store-5989/,,,https://www.google.com/maps/search/?api=1&query=Arby's%202501%20Little%20Rock%20Road%20Charlotte%20NC,"Arby's 2501 Little Rock Road Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://www.arbys.com/robots.txt,false,
Arby's,4724 South Boulevard,Charlotte,NC,28209,https://www.arbys.com/locations/us/nc/charlotte/4724-south-blvd/store-437/,,,https://www.google.com/maps/search/?api=1&query=Arby's%204724%20South%20Boulevard%20Charlotte%20NC,"Arby's 4724 South Boulevard Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://www.arbys.com/robots.txt,false,
Arby's,8640 Rachel Freeman Way,Charlotte,NC,28278,https://www.arbys.com/locations/us/nc/charlotte/8640-rachel-freeman-way/store-8132/,,,https://www.google.com/maps/search/?api=1&query=Arby's%208640%20Rachel%20Freeman%20Way%20Charlotte%20NC,"Arby's 8640 Rachel Freeman Way Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://www.arbys.com/robots.txt,false,
Arby's,5226 East Independence Expressway,Charlotte,NC,28212,https://www.arbys.com/locations/us/nc/charlotte/5226-independence-blvd/store-8798/,,,https://www.google.com/maps/search/?api=1&query=Arby's%205226%20East%20Independence%20Expressway%20Charlotte%20NC,"Arby's 5226 East Independence Expressway Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://www.arbys.com/robots.txt,false,
Arby's,311 South Kings Drive,Charlotte,NC,28204,https://www.arbys.com/locations/us/nc/charlotte/311-s-kings-dr/store-7380/,,,https://www.google.com/maps/search/?api=1&query=Arby's%20311%20South%20Kings%20Drive%20Charlotte%20NC,"Arby's 311 South Kings Drive Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://www.arbys.com/robots.txt,false,
Arby's,9923 Sandy Rock Place,Charlotte,NC,28277,https://www.arbys.com/locations/us/nc/charlotte/9923-sandy-rock-place/store-8076/,,,https://www.google.com/maps/search/?api=1&query=Arby's%209923%20Sandy%20Rock%20Place%20Charlotte%20NC,"Arby's 9923 Sandy Rock Place Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://www.arbys.com/robots.txt,false,
Aria,,Charlotte,NC,,https://www.ariacharlotte.com/,,,https://www.google.com/maps/search/?api=1&query=Aria%20%20Charlotte%20NC,"Aria  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://www.ariacharlotte.com/robots.txt,false,
Armored Cow Brewing Co.,8821 J W Clay Boulevard,Charlotte,NC,28262,https://www.armoredcowbrewing.com/,,,https://www.google.com/maps/search/?api=1&query=Armored%20Cow%20Brewing%20Co.%208821%20J%20W%20Clay%20Boulevard%20Charlotte%20NC,"Armored Cow Brewing Co. 8821 J W Clay Boulevard Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://www.armoredcowbrewing.com/robots.txt,,
Aroma,401 North Tryon Street,Charlotte,NC,28202,,,,https://www.google.com/maps/search/?api=1&query=Aroma%20401%20North%20Tryon%20Street%20Charlotte%20NC,"Aroma 401 North Tryon Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Auntie Anne's,4400 sharon road,Charlotte,NC,28210,,,,https://www.google.com/maps/search/?api=1&query=Auntie%20Anne's%204400%20sharon%20road%20Charlotte%20NC,"Auntie Anne's 4400 sharon road Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Auntie Anne's,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=Auntie%20Anne's%20%20Charlotte%20NC,"Auntie Anne's  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Ava Pizza,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=Ava%20Pizza%20%20Charlotte%20NC,"Ava Pizza  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Azteca,116 East Woodlawn Road,Charlotte,NC,28217,https://aztecarestaurantcharlotte.com,,,https://www.google.com/maps/search/?api=1&query=Azteca%20116%20East%20Woodlawn%20Road%20Charlotte%20NC,"Azteca 116 East Woodlawn Road Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://aztecarestaurantcharlotte.com/robots.txt,false,
Azteca Mexican Resturant,7240 Smith Corners Boulevard,Charlotte,NC,28269,,,,https://www.google.com/maps/search/?api=1&query=Azteca%20Mexican%20Resturant%207240%20Smith%20Corners%20Boulevard%20Charlotte%20NC,"Azteca Mexican Resturant 7240 Smith Corners Boulevard Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
B.Good,14825 Ballantyne Village Way,Charlotte,NC,28277,,,,https://www.google.com/maps/search/?api=1&query=B.Good%2014825%20Ballantyne%20Village%20Way%20Charlotte%20NC,"B.Good 14825 Ballantyne Village Way Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Babaloo Coffee Club,1425 Winnifred Street,Charlotte,NC,28203,,,,https://www.google.com/maps/search/?api=1&query=Babaloo%20Coffee%20Club%201425%20Winnifred%20Street%20Charlotte%20NC,"Babaloo Coffee Club 1425 Winnifred Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
BACHI,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=BACHI%20%20Charlotte%20NC,"BACHI  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Bad Daddy's,1626 East Boulevard,Charlotte,NC,28203,,,,https://www.google.com/maps/search/?api=1&query=Bad%20Daddy's%201626%20East%20Boulevard%20Charlotte%20NC,"Bad Daddy's 1626 East Boulevard Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Bad Daddy's,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=Bad%20Daddy's%20%20%20Charlotte%20NC,"Bad Daddy's   Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Bad Daddy's Burger Bar,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=Bad%20Daddy's%20Burger%20Bar%20%20Charlotte%20NC,"Bad Daddy's Burger Bar  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Bakersfield,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=Bakersfield%20%20Charlotte%20NC,"Bakersfield  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Baku,4515 Sharon Road,Charlotte,NC,28211,,,,https://www.google.com/maps/search/?api=1&query=Baku%204515%20Sharon%20Road%20Charlotte%20NC,"Baku 4515 Sharon Road Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Bang Bang Burgers,235 West Tremont Avenue,Charlotte,NC,28203,https://bangbangburgersclt.com,,,https://www.google.com/maps/search/?api=1&query=Bang%20Bang%20Burgers%20235%20West%20Tremont%20Avenue%20Charlotte%20NC,"Bang Bang Burgers 235 West Tremont Avenue Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://bangbangburgersclt.com/robots.txt,false,
Bang Bang Burgers,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=Bang%20Bang%20Burgers%20%20Charlotte%20NC,"Bang Bang Burgers  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Bánh Mì & Tea Company,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=B%C3%A1nh%20M%C3%AC%20%26%20Tea%20Company%20%20Charlotte%20NC,"Bánh Mì & Tea Company  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Banh Mi Brothers,230 East W T Harris Boulevard,Charlotte,NC,28262,https://www.banhmibrothers.com/,,,https://www.google.com/maps/search/?api=1&query=Banh%20Mi%20Brothers%20230%20East%20W%20T%20Harris%20Boulevard%20Charlotte%20NC,"Banh Mi Brothers 230 East W T Harris Boulevard Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://www.banhmibrothers.com/robots.txt,true,
Bankers Kitchen,2200 Thrift Road,Charlotte,NC,28208,,,,https://www.google.com/maps/search/?api=1&query=Bankers%20Kitchen%202200%20Thrift%20Road%20Charlotte%20NC,"Bankers Kitchen 2200 Thrift Road Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Bankers Raw Bar,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=Bankers%20Raw%20Bar%20%20Charlotte%20NC,"Bankers Raw Bar  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Bao & Broth,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=Bao%20%26%20Broth%20%20Charlotte%20NC,"Bao & Broth  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Baoding,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=Baoding%20%20Charlotte%20NC,"Baoding  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Bar-B-Q King,2900 Wilkinson Boulevard,Charlotte,NC,28208,,,,https://www.google.com/maps/search/?api=1&query=Bar-B-Q%20King%202900%20Wilkinson%20Boulevard%20Charlotte%20NC,"Bar-B-Q King 2900 Wilkinson Boulevard Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Barcelona Wine Bar,,Charlotte,NC,,https://barcelonawinebar.com/location/charlotte/,,,https://www.google.com/maps/search/?api=1&query=Barcelona%20Wine%20Bar%20%20Charlotte%20NC,"Barcelona Wine Bar  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://barcelonawinebar.com/robots.txt,false,
Bargarita,3221 North Davidson Street,Charlotte,NC,28205,,,,https://www.google.com/maps/search/?api=1&query=Bargarita%203221%20North%20Davidson%20Street%20Charlotte%20NC,"Bargarita 3221 North Davidson Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Basil Thai Cuisine,210 North Church Street,Charlotte,NC,28202,,,,https://www.google.com/maps/search/?api=1&query=Basil%20Thai%20Cuisine%20210%20North%20Church%20Street%20Charlotte%20NC,"Basil Thai Cuisine 210 North Church Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Beach Bites,,Charlotte,NC,,https://www.carowinds.com/play/drinks-dining/beach-bites,,,https://www.google.com/maps/search/?api=1&query=Beach%20Bites%20%20Charlotte%20NC,"Beach Bites  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://www.carowinds.com/robots.txt,false,
Bean Vegan Cuisine,3001 East Independence Expressway,Charlotte,NC,28205,,,,https://www.google.com/maps/search/?api=1&query=Bean%20Vegan%20Cuisine%203001%20East%20Independence%20Expressway%20Charlotte%20NC,"Bean Vegan Cuisine 3001 East Independence Expressway Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Beatrix Market,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=Beatrix%20Market%20%20Charlotte%20NC,"Beatrix Market  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Beef 'N Bottle Steakhouse,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=Beef%20'N%20Bottle%20Steakhouse%20%20Charlotte%20NC,"Beef 'N Bottle Steakhouse  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Bella Fresco Mediterranean,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=Bella%20Fresco%20Mediterranean%20%20Charlotte%20NC,"Bella Fresco Mediterranean  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Benny Pennello’s,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=Benny%20Pennello%E2%80%99s%20%20Charlotte%20NC,"Benny Pennello’s  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Bibim,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=Bibim%20%20Charlotte%20NC,"Bibim  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Biblio,2001 West Morehead Street,Charlotte,NC,28208,,,,https://www.google.com/maps/search/?api=1&query=Biblio%202001%20West%20Morehead%20Street%20Charlotte%20NC,"Biblio 2001 West Morehead Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Big Ben Pub,1535 Elizabeth Avenue,Charlotte,NC,28204,https://www.bigbenpub.com/,,,https://www.google.com/maps/search/?api=1&query=Big%20Ben%20Pub%201535%20Elizabeth%20Avenue%20Charlotte%20NC,"Big Ben Pub 1535 Elizabeth Avenue Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://www.bigbenpub.com/robots.txt,false,
Big View Diner,16637 Lancaster Highway,Charlotte,NC,28277,,,,https://www.google.com/maps/search/?api=1&query=Big%20View%20Diner%2016637%20Lancaster%20Highway%20Charlotte%20NC,"Big View Diner 16637 Lancaster Highway Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Bikini's,520 University Center Boulevard,Charlotte,NC,28262,,,,https://www.google.com/maps/search/?api=1&query=Bikini's%20520%20University%20Center%20Boulevard%20Charlotte%20NC,"Bikini's 520 University Center Boulevard Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Billy Jack's Shack,3220 North Davidson Street,Charlotte,NC,28205,https://www.jackbrownsjoint.com/locations/charlotte-nc,,,https://www.google.com/maps/search/?api=1&query=Billy%20Jack's%20Shack%203220%20North%20Davidson%20Street%20Charlotte%20NC,"Billy Jack's Shack 3220 North Davidson Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://www.jackbrownsjoint.com/robots.txt,false,
Billy Sunday,,Charlotte,NC,,,,,https://www.google.com/maps/search/?api=1&query=Billy%20Sunday%20%20Charlotte%20NC,"Billy Sunday  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",,,
Bird Pizzeria,510 East 15th Street,Charlotte,NC,28206,https://birdpizzeria.com,,,https://www.google.com/maps/search/?api=1&query=Bird%20Pizzeria%20510%20East%2015th%20Street%20Charlotte%20NC,"Bird Pizzeria 510 East 15th Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",https://birdpizzeria.com/robots.txt,false,
