venue_name,street,neighborhood_hint,website,scrape_allowed,robots_url,google_maps,search_query,note
Seaboard Brewing,,,https://www.seaboardbrewing.com,false,https://www.seaboardbrewing.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Seaboard%20Brewing%20%20Charlotte%20NC,"Seaboard Brewing  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Tacos Y Mas,,,,,,https://www.google.com/maps/search/?api=1&query=Tacos%20Y%20Mas%20%20Charlotte%20NC,"Tacos Y Mas  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Higher Grounds,1501 Queens Road,28207,,,,https://www.google.com/maps/search/?api=1&query=Higher%20Grounds%201501%20Queens%20Road%20Charlotte%20NC,"Higher Grounds 1501 Queens Road Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Bossy Beulah's,15110 Bowl Street,28277,https://www.bossybeulahs.com,false,https://www.bossybeulahs.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Bossy%20Beulah's%2015110%20Bowl%20Street%20Charlotte%20NC,"Bossy Beulah's 15110 Bowl Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Rooster's,,,https://www.roosterskitchen.com,false,https://www.roosterskitchen.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Rooster's%20%20Charlotte%20NC,"Rooster's  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Captain Jack's Tavern,,,,,,https://www.google.com/maps/search/?api=1&query=Captain%20Jack's%20Tavern%20%20Charlotte%20NC,"Captain Jack's Tavern  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Beatrix Market,,,,,,https://www.google.com/maps/search/?api=1&query=Beatrix%20Market%20%20Charlotte%20NC,"Beatrix Market  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Sycamore Brewing,,,,,,https://www.google.com/maps/search/?api=1&query=Sycamore%20Brewing%20%20Charlotte%20NC,"Sycamore Brewing  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
PDQ,,,,,,https://www.google.com/maps/search/?api=1&query=PDQ%20%20Charlotte%20NC,"PDQ  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Tacos 4 Life,4923 Trojan Drive,28278,,,,https://www.google.com/maps/search/?api=1&query=Tacos%204%20Life%204923%20Trojan%20Drive%20Charlotte%20NC,"Tacos 4 Life 4923 Trojan Drive Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Neighborhood Coffee Roasters,3646 Central Avenue,28205,,,,https://www.google.com/maps/search/?api=1&query=Neighborhood%20Coffee%20Roasters%203646%20Central%20Avenue%20Charlotte%20NC,"Neighborhood Coffee Roasters 3646 Central Avenue Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Ricko’s Churro Bar,,,,,,https://www.google.com/maps/search/?api=1&query=Ricko%E2%80%99s%20Churro%20Bar%20%20Charlotte%20NC,"Ricko’s Churro Bar  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Easy Like Sunday,,,,,,https://www.google.com/maps/search/?api=1&query=Easy%20Like%20Sunday%20%20Charlotte%20NC,"Easy Like Sunday  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Mocco Bistro,4004 South Boulevard,28209,,,,https://www.google.com/maps/search/?api=1&query=Mocco%20Bistro%204004%20South%20Boulevard%20Charlotte%20NC,"Mocco Bistro 4004 South Boulevard Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
